cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s
"8695","14218","477349","0","Bank of Lake Mills","Lake Mills","WI","53551","12/31/2014","2/18/2015","NM","136 East Madison Street","","2","0","0","4","1","Jefferson","","","1/1/1893","1/2/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","www.bankoflakemills.com","38513","8174","13903","14663","1773"
"15547","11215","476445","1137033","Bank of Lake Village","Lake Village","AR","71653","12/31/2014","2/18/2015","SM","101 Main Street","SOUTHEAST ARKANSAS BANK CORPORATION","2","0","0","2","0","Chicot","","","1/1/1934","1/1/1934","8/12/2011","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","www.bankoflakevillage.com","10036","3152","5172","1713","0"
"11200","0","34425","2560665","Bank of Lancaster","Kilmarnock","VA","22482","12/31/2014","2/18/2015","SM","100 Main Street","BAY BANKS OF VIRGINIA, INC.","8","0","0","4","0","Lancaster","","","11/1/1930","1/1/1934","10/24/2008","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","http://www.bankoflancaster.com","57049","5786","19684","26371","5208"
"4130","0","85454","1067251","Bank of Laverne","Laverne","OK","73848","12/31/2014","2/18/2015","NM","11 East Jane Jayroe","LAVERNE BANCSHARES, INC.","1","0","0","2","0","Harper","","","1/1/1922","1/1/1934","6/1/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","http://www.bankoflaverne.com","9704","4559","4943","202","0"
"8886","9303","951456","1050712","Bank of Lee's Summit","Lees Summit","MO","64063","12/31/2014","2/18/2015","NM","210 South Main Street","VALLEY VIEW BANCSHARES, INC.","4","0","0","4","0","Jackson","28140","Kansas City, MO-KS","1/1/1868","1/1/1934","8/12/2010","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","http://www.bankofleessummit.com","30204","7965","13598","6678","1963"
"5425","0","13457","1063516","Bank of Lewellen","Lewellen","NE","69147","12/31/2014","2/18/2015","NM","302 Main Street","LEWELLEN NATIONAL CORP.","1","0","0","2","0","Garden","","","10/5/1905","1/1/1934","2/27/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","http://www.bankoflewellen.com","2920","1060","1609","251","0"
"58164","0","3410141","3825062","Bank of Lexington, Inc.","Lexington","KY","40503","12/31/2014","2/18/2015","NM","761 Corporate Drive","BANCORP OF LEXINGTON INC.","3","0","0","4","0","Fayette","30460","Lexington-Fayette, KY","2/6/2006","2/6/2006","1/30/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","http://www.bankoflexington.net","35489","4083","19944","10768","694"
"57396","0","3128923","0","Bank of Lincoln County","Fayetteville","TN","37334","12/31/2014","2/18/2015","NM","307 East College Street","","3","0","0","4","0","Lincoln","","","7/22/2002","7/22/2002","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","http://www.bolconline.com","22967","4285","12544","5265","873"
"19087","0","111157","1059537","Bank of Lindsay","Lindsay","NE","68644","12/31/2014","2/18/2015","NM","102 Pine Street","LINDSAY STATE COMPANY","1","0","0","2","0","Platte","","","4/15/1953","4/6/1964","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","http://www.bankoflindsay.com","4854","1779","2719","356","0"
"91280","0","1397471","2617082","Bank of Little Rock","Little Rock","AR","72201","12/31/2014","2/18/2015","SM","200 North State Street","LITTLE ROCK BANKSHARES, INC.","5","0","0","4","0","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","10/21/1927","12/21/1987","3/31/2006","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","http://www.bankoflittlerock.com","11806","2621","5325","2163","1697"
