cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
"4071","9878","61953","1063329","The First National Bank of Coweta","Coweta","OK","74429","12/31/2014","2/18/2015","N","106 S Broadway St","FIRST COWETA CORPORATION","3","0","0","7","1","Wagoner","46140","Tulsa, OK","1/1/1903","1/1/1934","6/1/2010","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www.fnbcoweta.com","8372","2682","2343","2063","1284"
"4652","0","789051","0","The First National Bank of Cunningham","Cunningham","KS","67035","12/31/2014","2/18/2015","N","101 East First Street","","1","0","0","2","1","Kingman","48620","Wichita, KS","7/23/1925","1/1/1934","12/2/2008","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","http://www.fnbcunningham.com","2610","370","1405","835","0"
"6574","0","935719","1417267","The First National Bank of Dennison","Dennison","OH","44621","12/31/2014","2/18/2015","N","105 Grant Street","FNB, INC.","5","0","0","8","0","Tuscarawas","","","10/16/1933","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","http://www.fnbdennison.com","12430","2064","5637","3777","952"
"3787","14052","771140","1842355","The First National Bank of Dieterich","Dieterich","IL","62424","12/31/2014","2/18/2015","N","101 South Main Street","PRIME BANC CORP.","8","0","0","4","0","Effingham","","","1/1/1909","1/1/1934","1/14/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","http://www.primebanc.com","59604","9614","20349","25750","3891"
"4654","0","636753","1066946","The First National Bank of Dighton","Dighton","KS","67839","12/31/2014","2/18/2015","N","105 East Log Street","DIGHTON NATIONAL BANCSHARES, INC.","1","0","0","2","0","Lane","","","5/2/1888","1/1/1934","6/1/2010","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","http://www.fnbdighton.com","2223","1240","853","130","0"
"2794","14685","496434","3013793","The First National Bank of Dozier","Dozier","AL","36028","12/31/2014","2/18/2015","N","7825 South Main Street","FIRST DOZIER BANCSHARES, INC.","1","0","0","7","0","Crenshaw","","","3/10/1910","1/1/1934","6/1/2010","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","http://www.fnbdozier.com","6133","1208","4686","239","0"
"7031","14173","241009","0","The First National Bank of Dryden","Dryden","NY","13053","12/31/2014","2/18/2015","N","7 West Main Street","","2","0","0","7","0","Tompkins","27060","Ithaca, NY","1/1/1902","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","WWW.DRYDENBANK.COM","3982","1399","1193","1390","0"
"3014","13333","68859","1838590","The First National Bank of Durango","Durango","CO","81302","12/31/2014","2/18/2015","N","259 West Ninth Street","FIRST BANCORP. OF DURANGO, INC.","6","0","0","7","1","La Plata","","","2/4/1882","1/1/1934","8/1/2007","Stock","0","0","OCC","DIF","Dallas","CHICAGO","Denver","Kansas City","Western","Western","http://www.fnbdurango.com","22056","8505","6616","5410","1525"
"3658","0","914330","1210356","The First National Bank of Dwight","Dwight","IL","60420","12/31/2014","2/18/2015","N","122 W. Main Street","FIRST DWIGHT CORPORATION","1","0","0","2","1","Livingston","","","2/1/1905","1/1/1934","6/1/2010","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","www.fnbofdwight.com","11715","908","6839","2630","1338"
"3179","11421","651952","2723648","The First National Bank of Eagle Lake","Eagle Lake","TX","77434","12/31/2014","2/18/2015","N","100 Commerce Street","EAGLE LAKE BANCSHARES, INC.","3","0","0","4","1","Colorado","","","12/30/1904","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","http://www.fnbeaglelake.com","5520","1466","3047","888","119"
